Date,CMAQ All-Source,CMAQ No-Fire,IMPROVE
4/3/08,4.022325118,3.136333287,2.1
4/6/08,2.151674736,2.151601352,1.7
4/9/08,3.11229,3.11229307,1.7
4/12/08,2.24394017,2.22783718,2.6
4/15/08,5.48548009,5.485579193,2.2
4/18/08,5.310124824,4.773824563,6.4
4/21/08,4.366932382,4.366931429,2.4
4/24/08,2.283481877,2.283473063,1.2
4/27/08,3.845312908,1.408362123,1.8
5/3/08,4.926923871,4.894226174,8.8
5/6/08,6.359842976,5.92302231,4.4
5/9/08,14.21971655,13.98257009,5.8
5/12/08,7.241231362,7.240725497,3.7
5/15/08,0.285453616,0.285247717,1.6
5/18/08,2.457757647,2.291165888,3.3
5/21/08,1.856597903,1.855351451,2.1
5/24/08,0.3381712,0.333758908,2.2
5/27/08,1.031283895,0.861140164,1.8
5/30/08,1.376531012,1.321743896,1.8
6/2/08,3.99553746,3.987855295,2.6
6/5/08,2.685676595,2.685670316,1.5
6/8/08,1.533933024,1.532927252,2
6/11/08,1.740198712,1.740585327,1.9
6/14/08,5.183473229,3.214858969,6.4
6/17/08,6.501576553,4.698623558,2.6
6/20/08,2.709233383,2.314526394,2.3
6/29/08,192.3299055,3.569473356,127.2
7/2/08,151.8268951,2.387794798,116.9
7/8/08,3.706099744,2.197647462,8.1
7/11/08,5.505694538,1.205466305,10
7/14/08,100.9803747,1.943457449,114.8
7/20/08,139.3735371,2.279822409,71.9
8/1/08,151.8631167,1.316236703,51.7
8/4/08,27.47406703,1.961640065,5.1
8/7/08,8.503634155,1.575970305,16.3
8/13/08,13.43167805,1.036406743,32.4
8/16/08,54.79110305,2.678407058,114.9
8/19/08,25.02163607,1.434693535,4.6
8/22/08,4.571966827,0.956247352,4.6
8/25/08,4.202088428,1.033893831,2.8
8/28/08,3.157766317,0.501744167,1.3
8/31/08,2.662515594,1.047643649,2.3
9/3/08,4.06933852,1.324445143,5.5
9/6/08,4.560898935,1.246167632,6.4
9/9/08,13.68175044,3.192173501,5.8
9/12/08,20.7472414,1.414529962,12
9/15/08,12.60724296,2.717262735,8.6
9/18/08,4.372001131,3.256173164,6.2
9/21/08,3.256148502,1.709372878,3.1
9/24/08,9.331151505,2.20841225,4.6
9/27/08,3.753772095,1.836144244,3.9
9/30/08,5.685180643,3.943634178,5.9
10/3/08,0.837029212,0.836937846,1.5
10/6/08,2.381900008,2.187361221,1.7
10/9/08,5.587969184,2.287044724,2.2
10/12/08,2.275611262,2.214411616,2
10/18/08,11.95319527,2.535676479,19.1
10/21/08,3.027393488,1.45721553,1.6
10/24/08,2.180904051,1.567128489,2.7
10/27/08,3.203560372,1.771572528,4
10/30/08,9.406845589,5.673186819,9.5
11/2/08,0.682416571,0.682481246,0.8
11/5/08,2.685293362,1.609077789,2
11/8/08,4.358682464,2.078647256,1.4
11/11/08,6.993915131,2.380564789,3.3
11/14/08,1.414507858,0.831926639,1.4
11/17/08,2.062295645,1.222508207,5.6
11/20/08,9.671386917,4.433821,32.9
11/23/08,4.17079632,2.230003039,2
11/26/08,7.830320135,3.789685264,6.1
11/29/08,2.005872764,1.599388594,2.2
12/2/08,3.92047096,3.351064394,1.4
12/5/08,1.68941171,0.703298281,2.3
12/8/08,2.546070193,2.262569512,1.4
12/11/08,4.949738165,1.728880664,1.9
12/14/08,4.144924251,1.308500763,1.3
12/17/08,3.834867274,2.553921441,1.8
12/20/08,3.828890145,3.828885853,0.9
12/23/08,2.351281767,2.350513962,0.3
12/26/08,1.62827833,1.627883252,0.7
12/29/08,1.527945709,1.52361949,0.4
1/1/08,1.865176051,1.861044832,1.4
1/4/08,5.936859278,5.930617978,1.5
1/7/08,0.616237736,0.616233537,0.6
1/10/08,1.089829979,1.089828727,0.3
1/13/08,4.337559501,4.32267644,1.2
1/16/08,8.296099981,8.283895075,2.8
1/19/08,2.25980564,2.246715769,2.2
1/22/08,1.274282296,1.274218845,0.2
2/6/08,2.426446018,2.421017764,1.6
2/9/08,4.079535072,4.056638504,2
2/12/08,1.539202849,1.522877286,2.1
2/15/08,2.681506808,2.63650088,2
2/18/08,4.279087077,4.126146654,5.1
2/21/08,1.75525901,1.755385183,1.5
2/24/08,1.375837856,1.375706988,2.3
3/1/08,7.161404952,7.10694964,3.2
3/4/08,3.274948051,3.26944083,4.8
3/7/08,4.678266883,4.6468017,4.4
3/10/08,2.843666231,2.839148,2.5
3/13/08,4.506915234,4.489376505,2.4
3/16/08,1.243311185,1.23176377,2.1
3/19/08,9.69421047,9.647344073,4.3
3/22/08,6.355736971,6.324808329,3.7
3/25/08,6.230527073,6.135214905,3.5
3/28/08,5.016695132,4.995008747,5.7
3/31/08,3.786303997,3.786324688,6.2
4/3/08,1.251373451,1.245298002,3
4/6/08,4.436537852,4.417730063,4.5
4/9/08,4.156048,4.156067431,4.4
4/12/08,3.963919262,3.951615771,4.4
4/15/08,4.833336959,4.64183555,4.7
4/18/08,6.805756052,6.734075089,7.7
4/21/08,6.641099552,6.640875141,9.6
4/24/08,4.079778165,4.079887619,4.8
4/27/08,5.180778881,5.104543815,9.7
4/30/08,5.562052333,5.561769154,6.2
5/3/08,6.153143088,6.054450234,9.7
5/6/08,5.768519501,5.701317728,8.1
5/9/08,7.100890001,6.788498044,9.9
5/12/08,7.50382028,7.425633629,7
5/15/08,4.115578495,3.79391381,4.5
5/18/08,3.579173625,3.22585092,4.9
5/21/08,3.25906084,3.249028732,8.4
5/24/08,5.257357101,3.071560075,2.9
5/27/08,2.977644806,2.46441785,2.9
5/30/08,3.201930851,3.159121186,4.3
6/2/08,4.259092321,4.252609551,6.8
6/5/08,2.890851676,2.891275495,4.6
6/8/08,2.904488444,2.752789517,5.5
6/11/08,3.260478516,2.198101133,6
6/14/08,6.316255033,5.517501613,7.4
6/17/08,5.936363856,4.531910092,10.1
6/20/08,3.521861116,2.917677283,7
6/23/08,7.20790112,2.788674206,10
6/26/08,12.01883252,2.656505605,17.6
6/29/08,13.78957546,4.197374473,6.1
7/2/08,6.801341345,3.064665258,13.9
7/5/08,4.438829899,2.670777569,18.1
7/8/08,40.94476851,3.475258748,16.7
7/11/08,18.44583289,6.522920142,17.4
7/14/08,15.12039153,4.363170306,9.5
7/17/08,8.058722258,3.044810673,20.3
7/20/08,12.26746921,3.622529209,6.6
7/23/08,9.899107019,3.766416937,12.7
7/26/08,18.89042664,4.029027174,14.8
7/29/08,2.84601603,1.878301521,6.9
8/1/08,2.699848413,2.468646298,7.1
8/4/08,4.511895215,2.213297899,8.2
8/7/08,6.857153883,3.305951873,6.1
8/10/08,5.068218788,2.756748617,4.4
8/13/08,10.44998664,3.080760141,5.8
8/16/08,9.052520931,5.03894487,9.8
8/19/08,2.413377638,1.884509087,3.5
8/22/08,2.708560164,2.672963331,5.9
8/25/08,7.587849736,4.078216076,5.9
8/28/08,4.635423879,3.23500668,8.4
8/31/08,4.379651578,3.252825965,6.2
9/3/08,3.709664603,3.083608265,6.7
9/6/08,8.000536064,3.925248325,7.4
9/9/08,3.913143714,2.485257159,8.8
9/12/08,10.81921909,4.914804469,7.5
9/15/08,9.977623026,3.206541494,5.6
9/18/08,4.612273812,3.3030412,6.4
9/21/08,2.218513171,2.215390151,4.9
9/24/08,4.208927328,2.430779527,2.7
9/27/08,2.425952621,1.36350932,2.6
9/30/08,7.182239781,4.421603317,2.6
10/3/08,3.71307448,2.399639805,4.6
10/6/08,1.825168634,1.824731126,2.5
10/9/08,3.511646191,3.200563669,8.1
10/12/08,3.168208505,2.85834081,4.1
10/18/08,5.564111143,4.898272763,4.9
10/21/08,5.204806676,3.96644787,3.2
10/24/08,2.761225834,1.931383019,4.7
10/27/08,4.922594845,2.176784163,4.5
10/30/08,5.85931922,4.711413801,5.2
11/2/08,1.63503718,1.610685674,2.4
11/5/08,3.336963336,2.720937143,2
11/8/08,1.56794032,1.020099995,1.6
11/11/08,2.912576377,2.15911141,1.8
11/14/08,2.868942504,1.8069557,3.5
11/17/08,1.320007419,0.854874142,1.8
11/20/08,6.581703186,5.751758526,4.6
11/23/08,6.162147442,5.130190343,6.3
11/26/08,0.262850627,0.262638853,0
11/29/08,1.697301542,1.61694247,1.6
12/5/08,1.838939513,1.554010622,1.8
12/8/08,3.663797289,3.332918291,2.4
12/11/08,1.767051513,1.706732047,0.7
12/14/08,0.975427652,0.975438263,1.1
12/17/08,1.166361907,1.166493374,1
12/20/08,5.016347041,4.935745021,1.2
12/23/08,0.934975267,0.934921668,0.8
12/26/08,0.826278264,0.825973471,1.9
12/29/08,1.488841034,1.488953491,0.9
1/1/08,1.380202278,1.377857519,0.9
1/13/08,2.295042783,2.294994627,1.4
1/19/08,1.472186526,1.467604707,1.2
1/22/08,1.184493226,1.172780106,1.1
1/25/08,1.172747521,1.163637632,0.5
1/28/08,0.668257092,0.668219257,0.4
1/31/08,0.962494073,0.962495537,0.3
2/6/08,1.8110452,1.810746287,1.6
2/9/08,1.096137275,1.096136486,0.7
2/12/08,0.883582667,0.883491884,0.6
2/15/08,2.983164944,0.661312841,0.8
2/18/08,1.786048353,1.688207194,2.5
2/21/08,1.942470576,1.870091911,0.6
2/24/08,0.412503472,0.412623404,0
2/27/08,1.706338098,1.706250221,0.7
3/1/08,3.243837009,3.058163754,1.4
3/4/08,2.348463774,2.31543754,1
3/7/08,2.731165359,2.723318726,1.7
3/10/08,2.290887033,2.27993384,2.5
3/13/08,1.802355194,1.754937484,1.5
3/16/08,0.870125659,0.712852888,0.7
3/19/08,2.446572819,2.43878593,2.2
3/22/08,3.216877788,3.187961231,3.7
3/25/08,5.421519965,5.406731506,2.9
3/28/08,3.090640143,3.089347164,1.6
3/31/08,2.363353169,2.358715669,1.6
4/3/08,4.068351577,3.990770002,2.2
4/6/08,3.506823281,3.464897821,2.9
4/9/08,3.618659601,3.618671015,2.1
4/12/08,2.227337887,2.211858436,2.1
4/15/08,4.308340132,4.246290267,2.6
4/18/08,5.441480597,4.846522798,5.7
4/21/08,4.390998205,4.38435925,3.4
4/24/08,2.028193596,2.028230309,1.4
4/27/08,2.06637308,2.064707369,3.8
4/30/08,2.393440449,2.393439459,1.9
5/3/08,4.84727175,4.396725078,7.7
5/6/08,6.757214606,6.493435423,5.1
5/9/08,16.42219055,16.1656576,7.6
5/12/08,6.855300089,6.779550731,3.2
5/15/08,0.208102952,0.207852358,2
5/18/08,2.188177119,1.965507686,3.5
5/21/08,1.648793923,1.644233094,2.1
5/24/08,0.255315013,0.207936846,0.8
5/27/08,1.793819755,1.501754891,2.6
5/30/08,4.056303153,3.999770701,3
6/2/08,4.712589771,4.682809303,3.8
6/5/08,2.10050486,2.100488454,2.1
6/8/08,1.506739294,1.505579134,1.2
6/11/08,1.146860195,1.146772156,1.2
6/14/08,5.024117291,3.678247412,21.2
6/17/08,5.122343739,4.163713306,5.1
6/20/08,1.741872326,1.665279617,2.9
6/26/08,33.40119469,2.59078678,41.5
6/29/08,86.19022338,3.021206101,37.2
7/2/08,95.08045801,2.301896776,22.7
7/5/08,6.669903964,2.18715256,25.8
7/8/08,5.63672785,1.690500478,8.2
7/11/08,22.59960769,0.917138097,12.7
7/14/08,99.10184224,3.601569196,24.5
7/17/08,45.00748698,2.885838995,37.8
7/20/08,56.95375878,2.268834109,16.5
7/23/08,171.8605026,1.610320794,59.9
7/26/08,134.3674925,1.095999889,60.4
7/29/08,16.83321567,2.474942426,6.7
8/1/08,6.503072386,1.991706133,4.4
8/4/08,9.862728407,1.114376083,4.3
8/7/08,4.725171477,2.111680885,5.5
8/10/08,25.69582071,1.723541796,12.4
8/13/08,3.145362506,0.929528862,5.8
8/16/08,54.45215376,3.54480058,6.9
8/19/08,3.247386903,1.881168837,3.4
8/22/08,33.61278319,0.813308584,3.2
8/25/08,19.62943896,2.343389983,3.5
8/28/08,2.997392856,0.443633605,3.2
