"","GEOID20","Year","wf_pm","wf_pm_mod","Count","deaths_base","deaths_mod","deaths_base_LCL","deaths_mod_LCL","deaths_base_UCL","deaths_mod_UCL"
"1679","90742",2014,0.249176904559135,0.249176904559135,5.37768,0.0236649100333183,0.0236649100333183,0.00203887123498746,0.00203887123498746,0.0452047265398234,0.0452047265398234
"1680","90742",2015,0.340050399303436,0.340050399303436,5.37768,0.0322694380318824,0.0322694380318824,0.00278224437678729,0.00278224437678729,0.0615959214550664,0.0615959214550664
"1681","90742",2016,0.798864901065826,0.798864901065826,10.7536,0.150980179622959,0.150980179622959,0.0130656989461855,0.0130656989461855,0.287128660539718,0.287128660539718
"1682","90742",2017,1.33158099651337,1.33158099651337,5.37768,0.125260535741507,0.125260535741507,0.0108865927599336,0.0108865927599336,0.237201019503535,0.237201019503535
"1683","90742",2018,1.54620087146759,1.54620087146759,5.37768,0.145174796067709,0.145174796067709,0.0126391947105497,0.0126391947105497,0.274440920075792,0.274440920075792
"1684","90743",2008,1.15978133678436,1.15978133678436,5.37768,0.109264896278363,0.109264896278363,0.00948325132135831,0.00948325132135831,0.20719535840965,0.20719535840965
"1685","90743",2009,0.321857243776321,0.321857243776321,5.37768,0.03054789266962,0.03054789266962,0.00263342699847427,0.00263342699847427,0.0583183921447692,0.0583183921447692
"1686","90743",2010,0.127199947834015,0.127199947834015,5.37768,0.0120935150258085,0.0120935150258085,0.0010409005848531,0.0010409005848531,0.0231238080044791,0.0231238080044791
"1687","90743",2011,0.213437974452972,0.213437974452972,5.37768,0.0202771085823474,0.0202771085823474,0.00174648762532416,0.00174648762532416,0.038744522985738,0.038744522985738
"1688","90743",2012,0.2635697722435,0.2635697722435,5.37768,0.0250286483834136,0.0250286483834136,0.00215661617218228,0.00215661617218228,0.0478041867538155,0.0478041867538155
"1689","90743",2013,0.535810887813568,0.535810887813568,5.37768,0.0507584365676269,0.0507584365676269,0.004383276165612,0.004383276165612,0.0967350062370358,0.0967350062370358
"1690","90743",2014,0.26493239402771,0.26493239402771,5.37768,0.025157740134789,0.025157740134789,0.00216776335260799,0.00216776335260799,0.048050220829576,0.048050220829576
"1691","90743",2015,0.334696918725967,0.334696918725967,5.37768,0.0317629171895319,0.0317629171895319,0.00273845410854266,0.00273845410854266,0.0606316921579444,0.0606316921579444
"1692","90743",2016,0.927983582019806,0.927983582019806,5.37768,0.0876058240570974,0.0876058240570974,0.00758923529092236,0.00758923529092236,0.166432966054151,0.166432966054151
"1693","90743",2017,1.43953204154968,1.43953204154968,5.37768,0.135286608864742,0.135286608864742,0.011768200618731,0.011768200618731,0.255966056005548,0.255966056005548
"1694","90743",2018,1.63649451732635,1.63649451732635,5.37768,0.153530428312987,0.153530428312987,0.013376368317945,0.013376368317945,0.290027538438055,0.290027538438055
"1695","90744",2008,1.19710886478424,1.19710886478424,231.5,4.85345785796579,4.85345785796579,0.421365039028475,0.421365039028475,9.20069898488373,9.20069898488373
"1696","90744",2009,0.333736717700958,0.333736717700958,220.5,1.29864361087754,1.29864361087754,0.111962270941934,0.111962270941934,2.47897789081002,2.47897789081002
"1697","90744",2010,0.131130367517471,0.131130367517471,217.5,0.504217713667788,0.504217713667788,0.0433998875606975,0.0433998875606975,0.964075647274827,0.964075647274827
"1698","90744",2011,0.211155757308006,0.211155757308006,229.5,0.856118266091739,0.856118266091739,0.0737369614863528,0.0737369614863528,1.63585971559822,1.63585971559822
"1699","90744",2012,0.266687363386154,0.266687363386154,212.5,1.00068234902779,1.00068234902779,0.0862268741103303,0.0862268741103303,1.91123394098393,1.91123394098393
"1700","90744",2013,0.528748512268066,0.528748512268066,242.5,2.25886225581217,2.25886225581217,0.195054322378636,0.195054322378636,4.30516571352673,4.30516571352673
"1701","90744",2014,0.25541028380394,0.25541028380394,192,0.865999785340961,0.865999785340961,0.0746147357111724,0.0746147357111724,1.65415012592153,1.65415012592153
"1702","90744",2015,0.331179529428482,0.331179529428482,263.5,1.54003759177018,1.54003759177018,0.132771256055422,0.132771256055422,2.93983495928575,2.93983495928575
