Block group,% Hispanic,% White Alone,% Black or African American Alone,% American Indian and Alaska Native ,% Asian,% Native Hawaiian and other Pacific Islander,% Other Race and Two or More Races
60710079053,27.80082988,49.44674965,6.915629322,0.829875519,9.266943292,0.20746888,5.532503458
60710079061,31.1369509,38.95348837,11.75710594,0.258397933,12.01550388,0.129198966,5.749354005
60710079062,27.08407871,42.79069767,6.26118068,0.214669052,18.17531306,0.107334526,5.366726297
60710080011,68.83942766,18.83942766,1.748807631,0.317965024,7.551669316,0.317965024,2.384737679
60710080012,66.7721519,18.10126582,4.240506329,0.632911392,5,0.759493671,4.493670886
60710080013,59.41443715,16.15345785,5.199394245,1.009591116,14.63907118,0.252397779,3.331650681
60710080014,32.35691753,29.78819288,3.424966201,0.225326724,27.80531771,0.540784137,5.858494817
60710080031,56.18320611,23.20610687,5.190839695,0.763358779,6.870229008,1.679389313,6.106870229
60710080032,68.04214223,7.199297629,12.90605795,0.35118525,5.004389816,0.614574188,5.882352941
60710080033,60.35437431,8.748615725,20.81949059,0.221483942,6.644518272,0,3.211517165
60710080034,66.62295082,15.27868852,7.868852459,0.196721311,4.852459016,0.918032787,4.262295082
60710080041,75.61436673,11.72022684,5.229993699,0.189035917,4.347826087,0.252047889,2.646502836
60710080042,69.57306073,14.7324113,7.997594708,0.360793746,3.908598918,0.120264582,3.307276007
60710081001,31.30034522,54.54545455,3.107019563,0,3.682393556,0.115074799,7.249712313
60710081002,44.81397971,28.52311161,14.65614431,0.281848929,6.877113867,0.056369786,4.791431793
60710081003,33.38213763,39.97071742,7.467057101,1.464128843,13.17715959,0,4.538799414
60710082011,31.34328358,48.42454395,5.389718076,0.165837479,9.369817579,0,5.306799337
60710082012,32.45033113,50.06622517,4.238410596,0.397350993,5.165562914,0.132450331,7.549668874
60710082013,27.01908957,61.96769457,1.101321586,0.513950073,2.863436123,0.073421439,6.461086637
60710082021,13.3623031,79.14177078,1.195002716,0.217273221,2.715915263,0,3.367734927
60710082022,17.27891156,69.52380952,1.768707483,0,3.945578231,0,7.482993197
60710083011,28.20197044,59.72906404,1.600985222,0,3.81773399,0,6.650246305
60710083012,27.21364744,57.10804224,2.761982128,0.162469537,7.148659626,0.162469537,5.442729488
60710083013,22.97468354,49.30379747,5.063291139,0.379746835,18.10126582,0.063291139,4.113924051
60710083014,22.14242968,57.63016158,2.513464991,0.777977259,8.318372232,0.478755236,8.138839019
60710083015,19.81845688,55.82450832,3.479576399,0.15128593,15.50680787,0.075642965,5.143721634
60710083021,18.80781089,67.52312436,2.363823227,0.71942446,5.035971223,0.205549846,5.344295992
60710083022,18.57304643,69.64892412,1.132502831,0.113250283,3.171007928,0.226500566,7.134767837
60710083023,14.23512748,66.35977337,2.266288952,0.07082153,11.75637394,0.283286119,5.028328612
60710084021,35.60864619,49.71558589,5.119453925,0.227531286,4.550625711,0.227531286,4.550625711
60710084022,34.27853553,50.64608758,3.086862886,0.143575018,5.814788227,0.143575018,5.886575736
60710084023,30.21060276,55.91866376,3.267973856,0,6.463326071,0,4.139433551
60710084024,36.73749143,50.10281014,3.015764222,0.137080192,3.152844414,0.753941056,6.10006854
60710084031,30.88662791,54.57848837,3.270348837,0.072674419,5.377906977,0.290697674,5.523255814
60710084032,20.49830125,65.7984145,1.415628539,0.169875425,8.097395243,0.113250283,3.907134768
60710084033,21.39791539,56.52973636,2.513795218,0.122624157,15.02145923,0.306560392,4.107909258
60710084034,26.12966601,59.03732809,4.518664047,0.098231827,3.929273084,0,6.286836935
60710084041,52.32371795,31.57051282,4.887820513,0.400641026,5.288461538,0.080128205,5.448717949
60710084042,50.98039216,26.14379085,13.7254902,0.594177065,4.456327986,0,4.099821747
60710084051,37.74053383,32.46430788,3.289882061,0.558659218,20.29795158,0.186219739,5.462445686
60710084052,42.24326293,43.48142753,4.806991988,0.655498908,3.714493809,0.582665696,4.515659141
60710084053,35.76589595,48.51878613,4.046242775,0.325144509,4.768786127,0.361271676,6.213872832
60710084061,36.23249894,35.12940178,4.41238863,0.509121765,18.24352991,0.212134069,5.260924905
60710084062,35.69209527,40.66275457,6.765619606,0.276147739,11.97790818,0.103555402,4.521919227
60710085011,14.23695758,69.67333008,1.80399805,0.341296928,8.629936616,0.24378352,5.070697221
60710085012,14.67793031,68.1626188,1.531151003,0.263991552,8.922914467,0.05279831,6.388595565
60710085021,16.19850187,70.6928839,0.561797753,0.187265918,5.243445693,0.187265918,6.928838951
60710085022,12.56499133,60.22530329,1.559792028,0.346620451,19.41074523,0,5.89254766
60710085023,15.76857629,62.90414067,1.701644923,0.397050482,12.93250142,0.113442995,6.182643222
60710085024,21.58092848,63.73902133,1.756587202,0.125470514,4.767879548,0.250941029,7.779171895
60710086011,56.98808234,35.86132178,2.600216685,0,1.408450704,0.433369447,2.708559047
60710086012,35.01454898,45.87778855,6.013579049,0.581959263,5.625606208,0.387972842,6.498545102
60710086013,41.98312236,38.97679325,4.694092827,0.369198312,8.122362869,0,5.85443038
60710086014,42.28660924,39.85904464,5.520751762,0.704776821,4.541895067,0.822239624,6.26468285
60710086021,39.28761297,48.59117491,3.455608719,0.053163211,4.306220096,0.159489633,4.146730463
60710086022,31.76136364,58.125,1.193181818,0.397727273,3.068181818,0.170454545,5.284090909
60710087051,44.09020218,47.51166407,0.233281493,0.933125972,1.632970451,0.155520995,5.443234837
60710087052,36.57314629,54.20841683,1.402805611,0.300601202,1.903807615,0.601202405,5.01002004
60710087053,50.74106364,43.59197908,2.005231037,0.348735833,0.610287707,0.174367916,2.528334786
60710087054,45.47657512,47.65751212,0.242326333,0.484652666,2.100161551,0,4.038772213
60710087081,34.38985737,58.24088748,1.505546751,0.158478605,0.237717908,0,5.467511886
60710087082,28.7515006,63.92557023,1.50060024,0.780312125,0.780312125,0.06002401,4.201680672
60710087083,30.86751849,60.86079354,1.008742434,1.277740417,1.479488904,0,4.505716207
