Block group,Median_hh_income,age_perc,race_eth
60014033021,229176,0,57.54082613
60014033022,74356,11.25265393,64.19939577
60014033023,159861,4.06162465,59.64912281
60014034011,119146,49.27211646,49.83305509
60014034012,82237,4.836895388,68.65979381
60014034013,27266,46.72727273,68.36616454
60014034021,72837,0,78.08641975
60014034022,81744,13.99468556,67.33333333
60014035011,25519,67.46453901,64.68899522
60014035012,76453,5.437352246,57.93528505
60014035013,58484,11.492891,82.99748111
60014035014,113478,10.2926337,62.65520535
60014035021,95089,14.625,51.46898803
60014035022,83466,12.83112583,55.24816924
60014036001,93801,12.71676301,54.89690722
60014036002,105114,15.6626506,54.49299258
60014036003,81376,16.58354115,65.98240469
60014037011,74497,35.29780564,44.56606724
60014037012,100500,9.93006993,54.67816855
60014037021,96786,11.40186916,63.57786358
60014037022,125320,19.70209885,42.78425656
60014038001,230592,38.42519685,39.40740741
60014038002,110781,11.71393342,37.97313797
60014038003,130720,10.02506266,45.86563307
60014038004,145912,22.77777778,42.99583911
60014039001,86719,18.72146119,47.11347047
60014039002,201544,32.56916996,34.37892095
60014039003,118566,23.57779301,51.79987797
60014040001,77478,17.45867769,54.63414634
60014040002,114669,18.14273431,43.04584305
60014040003,70556,13.89793702,46.54002714
60014041011,94688,31.33951137,33.48623853
60014041012,129583,19.39501779,40.0862069
60014041013,102097,13.0998703,42.52491694
60014041021,91090,35.05712568,37.21244926
60014041022,75875,49.12280702,40.1734104
60014042001,146875,21.10169492,41.14285714
60014042002,247147,29.74223397,32.68945022
60014042003,152460,24.75728155,37.10843373
60014043001,208906,25.56332556,38.64574732
60014043002,202250,23.73046875,30.17057569
60014043003,222917,20.06394884,31.8863457
60014044001,250000,22.80796127,47.26256983
60014044002,166473,24.58492976,35.34812548
60014044003,200150,23.1851435,35.86358636
60014044004,124476,23.80952381,44.7592068
60014045011,211500,27.78079219,33.76623377
60014045021,218642,29.45454545,37.07865169
60014045022,220400,35.66214807,36.61581137
60014045023,206667,24.88399072,38.13796971
60014045024,209423,25.74193548,35.77889447
60014046001,159848,27.71855011,41.11014744
60014046002,207292,22.44897959,32.83783784
60014046003,213083,30.48376408,31.79091688
60014046004,168913,27.72020725,35.07712944
60014047001,243594,21.84466019,33.63533409
60014047002,202321,32.50222618,40.58234759
60014048001,89097,35.77235772,57.71217712
60014048002,122016,15.81769437,51.99714693
60014049001,166528,15.13409962,38.78453039
60014049002,48875,35.81488934,56.8627451
60014049003,117231,29.75140337,58.76651982
60014049004,164297,27.72108844,38.77721943
60014050001,177083,19.98060136,34.54317897
60014050002,146750,24.76802284,35.57278208
60014050003,115333,30.48211509,43.45898004
60014051001,250000,26.22309198,34.22053232
60014051002,250000,23.43949045,30.39073806
60014051003,243750,23.46842601,39.27392739
60014051004,186736,23.10810811,41.04803493
60014051005,217206,25.94718714,39.2578125
60014052001,99737,35.56100552,63.07023896
60014052002,85046,14.28571429,61.83127572
60014052003,135329,23.29059829,66.99588477
60014052004,86250,10.09329941,51.37686861
60014053011,106613,12.14953271,50.72614108
60014053012,117875,10.73968706,62.98449612
60014053013,60417,30.85399449,60.90452261
60014053021,47339,33.19039451,67.78749159
60014053022,66938,14.56235476,73.89312977
60014054011,63409,15.00330469,75.46648238
60014054012,79097,8.939014202,86.93759071
60014054013,64432,24.39862543,84.47619048
60014054021,34893,13.85379061,88.98098489
60014054022,79886,17.39811912,80.98214286
60014055001,84375,17.54966887,83.90804598
60014055002,59438,10.12658228,82.05365402
60014055003,56349,24.02315485,78.67095391
60014055004,101250,18.93039049,69.664903
60014056001,44141,10.90604027,72.70233196
60014056002,126750,12.8532361,74.86437613
60014056003,72292,12.47484909,69.47444204
60014057001,69906,9.507246377,82.15733982
60014057002,69226,13.52040816,85.7635893
60014057003,77917,6.577344702,81.18331717
60014058001,63702,28.74720358,88.74172185
60014058002,52604,8.65248227,88.19641171
60014058003,49531,16.57754011,90.61371841
60014058004,54909,12.72229822,88.16120907
60014059011,58750,13.99155227,92.11020664
60014059012,44458,8.609271523,94.22604423
60014059013,55945,14.29738562,93.45351044
60014059021,53594,26.52795839,90.65550907
60014059022,61103,14.09836066,91.64281626
60014060001,96920,17.08185053,68.73584051
60014060002,48348,13.49557522,89.01918977
60014060003,34545,36.50234742,82.50863061
60014060004,72500,12.19656602,84.86352357
60014061001,54560,25.32663317,87.36338798
60014061002,81250,14.56953642,82.13977567
60014061003,69423,13.76329787,59.09398242
60014061004,53010,21.50715072,90.14005602
60014062011,64261,12.18274112,96.41350211
60014062012,37173,30.68893528,93.12977099
60014062013,42355,9.140859141,93.02325581
60014062014,56622,11.97771588,94.25287356
60014062021,52125,30.02441009,93.6928702
60014062022,39702,19.124308,92.73127753
60014062023,64716,17.44656268,93.97525551
60014063001,50259,34.90878939,88.1390593
60014063002,55000,15.10464058,89.28571429
60014063003,66912,14.3728223,87.95180723
60014063004,50259,11.32246377,88.12691914
60014064001,102321,48.43137255,71.66469894
60014064002,54464,33.6749634,77.05278592
60014065001,82656,14.4534413,88.27821012
60014065002,103068,12.88723668,91.84149184
60014065003,47938,24.93165664,95.36741214
60014065004,40583,19.90291262,86.18233618
60014066011,64271,14.03091558,91.90809191
60014066012,61932,18.92744479,82.72383354
60014066013,97273,18.62225587,76.35135135
60014066014,40379,29.40584089,85.57377049
60014066021,77885,22.45862884,80.71646341
60014066022,43750,20.37883736,87.35909823
60014067001,135179,27.84958872,47.80673872
60014067002,148684,34.3220339,46.75516224
60014067003,105221,18.81868132,67.94019934
60014067004,147697,39.69359331,41.39194139
60014067005,157308,32.72727273,40.81041968
60014068001,179519,25.37537538,45.9197787
60014068002,115536,31.09243697,51.1821975
60014068003,112969,17.13665944,74.21383648
60014068004,109444,26.95652174,64.1025641
60014069001,166765,20.2919708,43.09045226
60014069002,135882,22.32346241,47.40484429
60014069003,94591,21.2136665,82.29994701
60014070001,51917,30.09708738,82.62511804
60014070002,81121,29.25764192,74.30117223
60014070003,83984,32.66331658,87.61538462
60014070004,75139,25.52325581,93.36399474
60014070005,167734,15.625,86.04224059
60014071011,43225,13.45388788,91.56293223
60014071012,43496,27.95801527,90.78473722
60014071021,56133,22.0880069,85.49477566
60014071022,60341,11.60092807,90.26455026
60014071023,80556,20.69230769,92.81705948
60014071024,140207,7.381889764,84.87486398
60014072001,57841,15.06456241,93.71534196
60014072002,58173,7.506203474,94.49913144
60014072003,60408,13.64857603,89.60573477
60014072004,43294,19.96927803,91.43968872
60014073001,63813,12.62729124,91.1420205
60014073002,70313,9.099901088,79.2782305
60014074001,75688,29.27068037,95.6
60014074002,51029,13.66024518,96.56290532
60014074003,36802,6.766917293,98.92857143
60014075001,51464,21.30102041,91.48296593
60014075002,39643,15.82633053,96.61971831
60014075003,36065,21.95318805,94.18326693
60014076001,83479,19.77777778,70.61657033
60014076002,76131,12.34567901,81.01851852
60014076003,79432,20.19623876,83.20864505
60014076004,112880,10.18573996,89.55049621
60014076005,31292,15.06726457,88.12684366
60014077001,86875,27.04347826,79.11671924
60014077002,78654,17.71255061,72.49544627
60014077003,154609,19.23828125,63.00768386
60014077004,108705,32.63816475,63.94948335
60014078001,76786,14.54202077,68.96955504
60014078002,73676,14.95584989,67.74193548
60014079001,113125,26.68428005,53.71428571
60014079002,128906,7.782101167,69.23076923
60014079003,151691,22.37136465,63.86554622
60014080001,178750,43.01221167,36.14775726
60014080002,157604,25.10158014,52.13675214
60014081001,198487,30.31640912,49.64216005
60014081002,95723,14.74245115,75.42186354
60014081003,139388,21.56057495,74.68619247
60014081004,93125,33.58208955,66.91449814
60014081005,184216,25.86826347,67.93557833
60014082001,78816,33.84030418,69.30909091
60014082002,74143,15.8714214,86.50910881
60014082003,76701,12.07645526,84.88262911
60014083001,88939,14.07867495,71.1722488
60014083002,146875,21.14035088,65.27237354
60014083003,103750,19.43396226,66.5053243
60014083004,59023,3.46740638,88.58350951
60014083005,120833,27.6849642,87.65822785
60014084001,75288,11.61731207,96.55870445
60014084002,65568,8.733087331,95.77754892
60014084003,46375,31.21019108,94.7082768
60014085001,61602,11.46010187,96.05263158
60014085002,46098,22.23255814,95.82089552
60014085003,43581,17,96.86888454
60014085004,73750,12.3046875,96.3677639
60014085005,92540,16.33165829,97.02422145
60014086001,44767,15.58149978,93.5383012
60014086002,85357,18.64603482,95.04783343
60014086003,51607,16.85323383,96.73913043
60014086004,78667,4.567078972,94.79479479
60014087001,79519,25.11682243,84.96503497
60014087002,55405,23.44497608,95.3968254
60014087003,55405,12.76995305,95.1183432
60014087004,55405,10.36682616,97.18837863
60014087005,48250,4.87804878,92.99175501
60014087006,52727,28.69641295,93.21628093
60014088001,76771,5.28330781,93.727162
60014088002,33010,14.13662239,89.02001026
60014088003,20774,24.08163265,94.14934565
60014088004,48300,24.72941948,97.59188847
60014089001,31944,19.37602627,97.67580453
60014089002,55577,13.01913206,95.22716843
60014090001,85066,17.56423794,91.08878808
60014090002,65223,#DIV/0!,#DIV/0!
60014090003,54500,21.14656571,94.98047964
60014091001,74875,17.70538244,97.97349961
60014091002,66011,10.30927835,97.98149706
60014092001,65938,12.08519069,97.05069124
60014092002,57647,9.133646743,97.66561514
60014093001,39857,16.90383786,96.24633431
60014093002,50000,32.3358271,94.44058374
60014093003,57601,11.09693878,96.68367347
60014093004,62000,8.355795148,96.05662285
60014094001,85741,12.22879684,97.37864078
60014094002,42480,13.7329932,96.23338257
60014094003,34737,15.58715113,96.83120049
60014095001,33587,10.6323836,93.84875847
60014095002,71250,10.31307551,92.4744898
60014095003,47930,15.82459485,98.19047619
60014096001,50547,17.58409786,97.57785467
60014096002,50547,17.52336449,96.61620659
60014096003,54496,14.16589003,97.9787234
60014096004,47011,31.63596966,96.99453552
60014096005,55383,12.14521452,98.35616438
60014097001,52500,11.11893033,95.68138196
60014097002,54259,17.96116505,98.66920152
60014097003,29573,9.324522761,96.05826907
60014097004,43485,6.234096692,96.69421488
60014098001,104167,25.59109875,76.499388
60014098002,64148,14.22924901,88.23170732
60014098003,153625,18.0293501,85.97640891
